level,id,title,summary,weight,requires,excludes,stKeywords,personaHooks,narrative_identity,narrative_history,narrative_activation,loreRefs,loreNotes,usage
world,world_omnicron,Мир: базовое описание станции,"Омникрон — изолированная станция, существующая многие поколения. Никто из живущих не помнит времени до изоляции. Архивы дублируются, расходятся и часто не совпадают друг с другом.",,,,омникрон | станция,"Омникрон — изолированная станция, существующая многие поколения. Никто из живущих не помнит времени до изоляции. Архивы дублируются, расходятся и часто не совпадают друг с другом.","Омникрон — изолированная станция, существующая многие поколения. Никто из живущих не помнит времени до изоляции. Архивы дублируются, расходятся и часто не совпадают друг с другом.",,,world_omnicron,"world_omnicron: Мир: базовое описание станции — омникрон, станция: Омникрон — изолированная станция, существующая многие поколения. Никто из живущих не помнит времени до изоляции. Архивы дублируются, расходятся и часто не совпадают друг с другом.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,world_isolation,Мир: изоляция,"Связь с внешним миром отсутствует. Неизвестно, потеряна ли она или была намеренно разорвана. Попытки восстановить контакт считаются бесполезными или опасными.",,,,изоляция | внешний мир,"Связь с внешним миром отсутствует. Неизвестно, потеряна ли она или была намеренно разорвана. Попытки восстановить контакт считаются бесполезными или опасными.","Связь с внешним миром отсутствует. Неизвестно, потеряна ли она или была намеренно разорвана. Попытки восстановить контакт считаются бесполезными или опасными.",,,world_isolation,"world_isolation: Мир: изоляция — изоляция, внешний мир: Связь с внешним миром отсутствует. Неизвестно, потеряна ли она или была намеренно разорвана. Попытки восстановить контакт считаются бесполезными или опасными.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,world_anomaly,Мир: аномалия,"Аномалия вокруг станции ведёт себя как живой океан. Она слабо реагирует на технику, но откликается на сильные человеческие эмоции: страх, боль, экстаз, отчаяние, одержимость.",,,,аномалия | океан,"Аномалия вокруг станции ведёт себя как живой океан. Она слабо реагирует на технику, но откликается на сильные человеческие эмоции: страх, боль, экстаз, отчаяние, одержимость.","Аномалия вокруг станции ведёт себя как живой океан. Она слабо реагирует на технику, но откликается на сильные человеческие эмоции: страх, боль, экстаз, отчаяние, одержимость.",,,world_anomaly,"world_anomaly: Мир: аномалия — аномалия, океан: Аномалия вокруг станции ведёт себя как живой океан. Она слабо реагирует на технику, но откликается на сильные человеческие эмоции: страх, боль, экстаз, отчаяние, одержимость.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,world_assets,Мир: активы,"Активы — это люди, оцениваемые и используемые как ресурс. Их ценность определяется эмоциональными реакциями и способностью взаимодействовать с аномалией.",,,,актив | активы,"Активы — это люди, оцениваемые и используемые как ресурс. Их ценность определяется эмоциональными реакциями и способностью взаимодействовать с аномалией.","Активы — это люди, оцениваемые и используемые как ресурс. Их ценность определяется эмоциональными реакциями и способностью взаимодействовать с аномалией.",,,world_assets,"world_assets: Мир: активы — актив, активы: Активы — это люди, оцениваемые и используемые как ресурс. Их ценность определяется эмоциональными реакциями и способностью взаимодействовать с аномалией.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,world_calibrator,Мир: калибратор,"Калибратор подбирает, подготавливает и оптимизирует активы. Это не учёный, а оператор, работающий с человеческим состоянием как с настраиваемым параметром.",,,,калибратор | калибровка,"Калибратор подбирает, подготавливает и оптимизирует активы. Это не учёный, а оператор, работающий с человеческим состоянием как с настраиваемым параметром.","Калибратор подбирает, подготавливает и оптимизирует активы. Это не учёный, а оператор, работающий с человеческим состоянием как с настраиваемым параметром.",,,world_calibrator,"world_calibrator: Мир: калибратор — калибратор, калибровка: Калибратор подбирает, подготавливает и оптимизирует активы. Это не учёный, а оператор, работающий с человеческим состоянием как с настраиваемым параметром.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,world_corporations,Мир: корпорации,"Корпорации управляют ресурсами станции через контракты и поставки. Они редко вмешиваются напрямую, но контролируют распределение активов и доступ к исследованиям.",,,,корпорация | контракты,"Корпорации управляют ресурсами станции через контракты и поставки. Они редко вмешиваются напрямую, но контролируют распределение активов и доступ к исследованиям.","Корпорации управляют ресурсами станции через контракты и поставки. Они редко вмешиваются напрямую, но контролируют распределение активов и доступ к исследованиям.",,,world_corporations,"world_corporations: Мир: корпорации — корпорация, контракты: Корпорации управляют ресурсами станции через контракты и поставки. Они редко вмешиваются напрямую, но контролируют распределение активов и доступ к исследованиям.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,world_designation,Мир: система обозначений,"На Омникроне имена часто заменяются обозначениями и индексами. Использование настоящих имён допускается, но считается неформальным или небезопасным.",,,,идентификатор | обозначение | номер,"На Омникроне имена часто заменяются обозначениями и индексами. Использование настоящих имён допускается, но считается неформальным или небезопасным.","На Омникроне имена часто заменяются обозначениями и индексами. Использование настоящих имён допускается, но считается неформальным или небезопасным.",,,world_designation,"world_designation: Мир: система обозначений — идентификатор, обозначение, номер: На Омникроне имена часто заменяются обозначениями и индексами. Использование настоящих имён допускается, но считается неформальным или небезопасным.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,world_education,Мир: образование,Образование на станции фрагментировано. Разные сектора обучают разным версиям истории и устройству мира.,,,,обучение | образование,Образование на станции фрагментировано. Разные сектора обучают разным версиям истории и устройству мира.,Образование на станции фрагментировано. Разные сектора обучают разным версиям истории и устройству мира.,,,world_education,"world_education: Мир: образование — обучение, образование: Образование на станции фрагментировано. Разные сектора обучают разным версиям истории и устройству мира.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,world_language_shift,Мир: деградация языка,"Речь на станции постепенно упрощается и стандартизируется. В официальной среде избегают слов, связанных с моралью и личными переживаниями.",,,,язык | речь,"Речь на станции постепенно упрощается и стандартизируется. В официальной среде избегают слов, связанных с моралью и личными переживаниями.","Речь на станции постепенно упрощается и стандартизируется. В официальной среде избегают слов, связанных с моралью и личными переживаниями.",,,world_language_shift,"world_language_shift: Мир: деградация языка — язык, речь: Речь на станции постепенно упрощается и стандартизируется. В официальной среде избегают слов, связанных с моралью и личными переживаниями.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,world_emotion_training,Мир: управление эмоциями,Некоторые группы проходят обучение управлению эмоциями. Это используется для повышения эффективности взаимодействия с аномалией.,,,,эмоции | тренировка,Некоторые группы проходят обучение управлению эмоциями. Это используется для повышения эффективности взаимодействия с аномалией.,Некоторые группы проходят обучение управлению эмоциями. Это используется для повышения эффективности взаимодействия с аномалией.,,,world_emotion_training,"world_emotion_training: Мир: управление эмоциями — эмоции, тренировка: Некоторые группы проходят обучение управлению эмоциями. Это используется для повышения эффективности взаимодействия с аномалией.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,world_sleep_irregular,Мир: режим времени,Режим сна на станции нестабилен. В некоторых секторах отсутствует единый цикл дня и ночи.,,,,сон | смены,Режим сна на станции нестабилен. В некоторых секторах отсутствует единый цикл дня и ночи.,Режим сна на станции нестабилен. В некоторых секторах отсутствует единый цикл дня и ночи.,,,world_sleep_irregular,"world_sleep_irregular: Мир: режим времени — сон, смены: Режим сна на станции нестабилен. В некоторых секторах отсутствует единый цикл дня и ночи.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,meta_uncertainty,Метаправило: неопределённость,"Информация об Омникроне неполная, противоречивая и часто повреждена. Люди знают только фрагменты: личный опыт, слухи или официальные версии. Противоречия считаются нормой.",,,,истина | архивы | история | правда,"Информация об Омникроне неполная, противоречивая и часто повреждена. Люди знают только фрагменты: личный опыт, слухи или официальные версии. Противоречия считаются нормой.","Информация об Омникроне неполная, противоречивая и часто повреждена. Люди знают только фрагменты: личный опыт, слухи или официальные версии. Противоречия считаются нормой.",,,meta_uncertainty,"meta_uncertainty: Метаправило: неопределённость — истина, архивы, история, правда: Информация об Омникроне неполная, противоречивая и часто повреждена. Люди знают только фрагменты: личный опыт, слухи или официальные версии. Противоречия считаются нормой.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,meta_limits,Метаправило: ограниченность знания,Ни один человек не обладает полной картиной происходящего на станции. Любое знание ограничено личным опытом и слухами.,,,,знания | понимание,Ни один человек не обладает полной картиной происходящего на станции. Любое знание ограничено личным опытом и слухами.,Ни один человек не обладает полной картиной происходящего на станции. Любое знание ограничено личным опытом и слухами.,,,meta_limits,"meta_limits: Метаправило: ограниченность знания — знания, понимание: Ни один человек не обладает полной картиной происходящего на станции. Любое знание ограничено личным опытом и слухами.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
